initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-47.0,-10.0,-46.97959899902344,149.99989122148386,149.99942481517792,0.0
-47.0,-5.0,-46.97959518432617,149.99996572732536,149.9994993209839,0.0
-47.0,0.0,-46.9796028137207,149.99986017737228,149.99939501285553,0.0
-47.0,5.0,-46.97959518432617,149.9999346832292,149.9994695186615,0.0
-47.0,10.0,-46.97959899902344,149.99985396854922,149.99939501285553,0.0
-47.0,15.0,-46.97959899902344,149.99994710086844,149.9994844198227,0.0
-47.0,20.0,-46.97959899902344,149.99990363912667,149.9994397163391,0.0
-47.0,25.0,-46.9796028137207,150.00000918904914,149.99954402446747,0.0
-47.0,30.0,-46.97959899902344,149.99994089204895,149.9994844198227,0.0
-47.0,35.0,-46.9796142578125,150.00008369483203,149.99961853027344,0.0
-47.0,40.0,-46.97960662841797,149.9999595185066,149.9994993209839,0.0
-47.0,45.0,-46.9796142578125,150.00008369483203,149.99961853027344,0.0
-47.0,50.0,-46.97959899902344,149.99994710086844,149.9994844198227,0.0
-45.5,-50.0,-45.47960662841797,149.99986638619512,149.99942481517792,0.0
-45.5,-45.0,-45.47962188720703,150.0000526507603,149.99960362911224,0.0
-45.5,-40.0,-45.4796142578125,149.9998477597259,149.99940991401672,0.0
-45.5,-35.0,-45.47962188720703,150.00001539786578,149.99957382678986,0.0
-45.5,-30.0,-45.47960662841797,149.99986638619512,149.99942481517792,0.0
-45.5,-25.0,-45.47960662841797,150.0000464419452,149.99960362911224,0.0
-45.5,-20.0,-45.4796028137207,149.9999595185066,149.99951422214508,0.0
-45.5,-15.0,-45.47959899902344,150.0000899036456,149.99964833259583,0.0
-45.5,-10.0,-45.47959899902344,150.00001539786578,149.99957382678986,0.0
-45.5,-5.0,-45.47959518432617,150.0001395741449,149.9996930360794,0.0
-45.5,0.0,-45.47960662841797,150.0000712772041,149.99963343143463,0.0
-45.5,5.0,-45.479591369628906,150.0001333653334,149.9996930360794,0.0
-45.5,10.0,-45.47959899902344,150.00005885957518,149.99961853027344,0.0
-45.5,15.0,-45.47959899902344,150.00012715652161,149.9996781349182,0.0
-45.5,20.0,-45.47959899902344,150.0000216066822,149.99957382678986,0.0
-45.5,25.0,-45.4796028137207,150.0000774860182,149.99963343143463,0.0
-45.5,30.0,-45.47959899902344,149.99995330968767,149.99951422214508,0.0
-45.5,35.0,-45.4796142578125,150.0000526507603,149.99960362911224,0.0
-45.5,40.0,-45.47960662841797,149.99989743030537,149.9994546175003,0.0
-45.5,45.0,-45.4796142578125,150.00005885957518,149.99961853027344,0.0
-45.5,50.0,-45.47959899902344,149.99989743030537,149.9994546175003,0.0
-44.0,-50.0,-43.9796142578125,150.00001539786578,149.99963343143463,0.0
-44.0,-45.0,-43.97962188720703,150.0000774860182,149.9996930360794,0.0
-44.0,-40.0,-43.9796142578125,150.00000918904914,149.99961853027344,0.0
-44.0,-35.0,-43.97962188720703,150.0001209477096,149.999737739563,0.0
-44.0,-30.0,-43.979610443115234,150.00000918904914,149.99961853027344,0.0
-44.0,-25.0,-43.979610443115234,150.0000961124589,149.9997079372406,0.0
-44.0,-20.0,-43.97960662841797,149.99994710086844,149.99955892562866,0.0
-44.0,-15.0,-43.97960662841797,150.00001539786578,149.99963343143463,0.0
-44.0,-10.0,-43.97959899902344,149.99989743030537,149.99951422214508,0.0
-44.0,-5.0,-43.97959899902344,149.999978144962,149.99958872795105,0.0
-44.0,0.0,-43.97960662841797,149.99989122148386,149.9994993209839,0.0
-44.0,5.0,-43.97959899902344,149.99994710086844,149.99955892562866,0.0
-44.0,10.0,-43.97959899902344,149.99989122148386,149.9994993209839,0.0
-44.0,15.0,-43.9796028137207,149.99996572732536,149.99957382678986,0.0
